name,countryName,countryCode3,LAT,LON,continentName,birthyear,gender,industry,domain,L_star,HPI,AverageViews
Fahri Koruturk,TURKEY,TUR,41.013611,28.955,Asia,1903,Male,GOVERNMENT,INSTITUTIONS,4.979161263,22.20250655,14690.65517
Wes Brown,United Kingdom,GBR,53.456,-2.2,Europe,1979,Male,TEAM SPORTS,SPORTS,5.327455126,17.28946521,42958.46667
Jonathan Woodgate,UNITED KINGDOM,GBR,54.5287,-1.177,Europe,1980,Male,TEAM SPORTS,SPORTS,4.459235189,16.20025772,56488.18519
Hakan Şükür,TURKEY,TUR,40.783333,30.4,Asia,1971,Male,TEAM SPORTS,SPORTS,6.421372776,19.92943893,80262.68421
Alan Smith,UNITED KINGDOM,GBR,53.755262,-1.47364,Europe,1980,Male,TEAM SPORTS,SPORTS,11.76018053,18.30728147,21709.58824
Fakhruddin Ali Ahmed,India,IND,28.61,77.23,Asia,1905,Male,GOVERNMENT,INSTITUTIONS,3.184945539,19.6716046,13377.38462
Alexander Vladimirovich Popov,Russia,RUS,58.633333,59.783333,Europe,1971,Male,INDIVIDUAL SPORTS,SPORTS,6.58423987,16.18055107,9054.357143
Ivan Kramskoi,Russia,RUS,50.866667,39.066667,Europe,1837,Male,FINE ARTS,ARTS,11.29357901,23.08502345,8841.382353
Kirsty Coventry,ZIMBABWE,ZWE,-17.863889,31.029722,Africa,1983,Female,INDIVIDUAL SPORTS,SPORTS,4.436481253,12.93513754,21255.53333
Manny Pacquiáo,PHILIPPINES,PHL,7.566667,124.983333,Asia,1978,Male,INDIVIDUAL SPORTS,SPORTS,2.943262587,18.07701242,659308.3846
Robert S. Mulliken,UNITED STATES,USA,42.8125,-70.877778,North America,1896,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,13.77023012,22.57098204,7110.6
Nur Muhammad Taraki,AFGHANISTAN,AFG,33.55,68.416667,Asia,1917,Male,GOVERNMENT,INSTITUTIONS,8.022729987,21.63341847,15841.53846
Edward Lawrie Tatum,United States,USA,40.027435,-105.251945,North America,1909,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,12.93755598,22.70302915,6584.333333
Henry Taube,CANADA,CAN,50.709722,-103.014167,North America,1915,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,14.10858209,22.93466262,7692.909091
Howard Martin Temin,UNITED STATES,USA,39.95,-75.166667,North America,1934,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,14.39909849,22.35059303,6498.290323
Hippasus,Unknown,UNK,NA,NA,Unknown,-500,Male,PHILOSOPHY,HUMANITIES,10.03901456,25.14166125,13930.83333
Dr. Alban,Nigeria,NGA,NA,NA,Africa,1957,Male,MUSIC,ARTS,9.334035055,21.89854761,56180.2069
Peter Facinelli,UNITED STATES,USA,40.75,-73.866667,North America,1973,Male,FILM AND THEATRE,ARTS,5.136895732,19.13765664,332463.3846
Michael Cera,CANADA,CAN,43.683333,-79.766667,North America,1988,Male,FILM AND THEATRE,ARTS,2.659199132,16.06186598,487260.037
Reuben,Unknown,UNK,NA,NA,Unknown,-2000,Male,RELIGION,INSTITUTIONS,6.747315098,25.20391546,16107.26923
Sune Bergström,SWEDEN,SWE,59.329444,18.068611,Europe,1916,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,16.11314454,22.35990608,5331.833333
Yma Súmac,PERU,PER,-7.164444,-78.510556,South America,1922,Female,MUSIC,ARTS,7.590920784,23.20127798,47551.2
Aleksey Konstantinovich Tolstoy,Russia,RUS,59.95,30.3,Europe,1817,Male,LANGUAGE,HUMANITIES,13.14071557,23.58047418,10426.53333
Jeremy Wariner,United States,USA,32.811667,-96.950833,North America,1984,Male,INDIVIDUAL SPORTS,SPORTS,4.856114143,14.01707237,35207.82759
Brandon Flowers,United States,USA,36.0292,-115.0253,North America,1981,Male,MUSIC,ARTS,3.227218087,16.45190885,256757.6538
Léon Degrelle,BELGIUM,BEL,49.7955,5.068,Europe,1906,Male,GOVERNMENT,INSTITUTIONS,8.333763183,23.9381481,41609.51724
